t,ra,dec,xi,eta,x,y,flag,q,col,row,flat,scale,response
772224986.45,242.367185361024,53.6709179503797,6631.967,-14671.04,9688.689,-20650.74,0,8.0,510.53278,155.48267,0.83954227,1.0296779751550384,0.8644581843286869
772224991.425,242.368072462916,53.6742058305425,6585.084,-14719.11,9627.159,-20706.78,0,21.0,509.7514,154.68149,0.86735475,1.0296779725122374,0.8930960810808916
772224992.2,242.36932460103,53.6723610243886,6656.128,-14764.79,9725.344,-20846.88,0,11.0,510.9355,153.92015,0.8461489,1.0296779721005447,0.8712608918269092
772224999.54,242.363501785607,53.6738018079306,6703.364,-14737.4,9810.167,-20762.82,0,13.0,511.72275,154.37668,0.848531,1.0296779682014168,0.8737136840331405
772225005.26,242.365057863889,53.6720036698127,6788.088,-14870.75,9923.383,-20986.98,0,12.0,513.13477,152.15416,0.8432351,1.0296779651628596,0.8682605766677977
772225006.435,242.370910140051,53.672518826025,6751.616,-15010.33,9828.187,-21127.08,0,15.0,512.5269,149.82782,0.82927567,1.0296779645386804,0.8538868815252122
772225008.84,242.367989885608,53.6734949704935,6725.63,-14984.51,9798.213,-21099.06,0,12.0,512.0938,150.25818,0.8089164,1.029677963261105,0.8329233808441786
772225010.095,242.369342375747,53.6728338137265,6741.923,-15037.23,9863.435,-21155.1,0,8.0,512.3654,149.37949,0.82927567,1.0296779625944288,0.8538868799128917
772225013.485,242.363406940919,53.6733336548904,6727.902,-14964.51,9838.647,-21071.04,0,9.0,512.1317,150.59152,0.8089164,1.0296779607936055,0.8329233788481778
772225015.35,242.368258065118,53.6715002068294,6766.91,-15102.89,9901.671,-21323.22,0,13.0,512.7818,148.2852,0.80988127,1.029677959802887,0.83391689370594
772225015.405,242.368936676089,53.6733253178859,6699.324,-15107.01,9758.395,-21281.19,0,11.0,511.65543,148.2165,0.8234695,1.0296779597736703,0.847908414893156
772225024.365,242.366362484009,53.6714986746694,6673.654,-15174.6,9718.575,-21379.26,0,11.0,511.22757,147.09001,0.84412885,1.0296779550139723,0.8691808650730811
772225024.615,242.3683775873,53.6732914416002,6599.867,-15208.58,9665.396,-21379.26,0,19.0,509.9978,146.52367,0.8432149,1.029677954881168,0.8682398237249228
772225028.77,242.369514367219,53.672692521465,6556.893,-15270.82,9595.076,-21477.33,0,10.0,509.28156,145.48633,0.81821567,1.0296779526739646,0.8424986340794254
772225036.05,242.367242704843,53.6711883427327,6496.001,-15256.03,9506.648,-21519.36,0,11.0,508.2667,145.73283,0.8296414,1.0296779488067105,0.854263456817321
772225039.685,242.366690784979,53.673110961766,6365.315,-15231.85,9307.556,-21491.34,0,14.0,506.0886,146.13585,0.845583,1.029677946875739,0.8706781896360596
772225051.505,242.372327585152,53.672327751,6174.376,-15258.93,9022.144,-21547.38,0,20.0,502.90628,145.68452,0.8015531,1.029677940596763,0.8253415149579899
772225054.16,242.368306705255,53.6721355117351,6160.251,-15139.75,8980.743,-21323.22,0,14.0,502.67087,147.67084,0.8439061,1.0296779391863842,0.8689514986149552
772225057.105,242.36636384708,53.6716817107046,6153.296,-15058.22,8939.869,-21211.14,0,9.0,502.55493,149.02968,0.8465973,1.0296779376219525,0.8717225761531909
772225058.295,242.366876124118,53.6742768212929,6050.032,-15037.05,8809.074,-21169.11,0,13.0,500.8339,149.38249,0.83929324,1.0296779369898053,0.8642017334380863
772225058.82,242.36499250255,53.6737768545731,6071.165,-14991.3,8835.444,-21113.07,0,11.0,501.1861,150.145,0.82858807,1.0296779367109166,0.8531788527411862
772225061.735,242.368053194323,53.6715600339073,6123.429,-15019.71,8942.595,-21155.1,0,9.0,502.05716,149.67151,0.8465973,1.0296779351624215,0.8717225740709585
772225062.295,242.366649041826,53.6737454409002,6048.682,-14968.16,8840.719,-21057.03,0,14.0,500.8114,150.53067,0.8431561,1.0296779348649403,0.868179231116038
772225063.935,242.367188368144,53.6726006582082,6082.853,-14958.65,8866.473,-21071.04,0,13.0,501.38086,150.68918,0.82858807,1.0296779339937456,0.8531788504897707
772225066.555,242.369192550577,53.6743492887366,6016.604,-14943.97,8784.286,-21099.06,0,11.0,500.27676,150.93384,0.8431561,1.0296779326019594,0.8681792292079918
772225073.455,242.367688805839,53.6711397730652,6162.411,-14819.92,8974.15,-20874.9,0,11.0,502.70685,153.00131,0.8192275,1.0296779289365676,0.8435404926732073
772225074.405,242.363784956775,53.6734706850151,6101.886,-14708.64,8911.038,-20706.78,0,11.0,501.69812,154.85599,0.8451274,1.0296779284319122,0.8702090343400427
772225088.305,242.371147535568,53.6740095836599,6244.408,-14706.93,9126.13,-20692.77,0,21.0,504.0735,154.8845,0.81549406,1.0296779210480076,0.839696228859481
772225093.095,242.367948686303,53.6724713451673,6392.458,-14624.67,9346.935,-20580.69,0,14.0,506.54095,156.25551,0.8241675,1.0296779185034821,0.8486270656070956
772225097.73,242.366390021337,53.6741753471278,6411.728,-14572.12,9371.194,-20510.64,0,9.0,506.86215,157.13133,0.8504784,1.0296779160412952,0.875718837589132
772225104.1,242.367416939934,53.6712846141863,6624.59,-14628.42,9684.471,-20636.73,0,13.0,510.40982,156.193,0.8498915,1.0296779126574482,0.8751144890077643
772225108.27,242.364150601027,53.6740909880112,6612.019,-14579.4,9667.945,-20580.69,0,13.0,510.20032,157.00998,0.83722115,1.0296779104422775,0.8620681198102674
772225118.355,242.36777473162,53.6736345795688,6740.227,-14797.54,9835.57,-20832.87,0,9.0,512.3371,153.37431,0.82352287,1.029677905084963,0.8479632992179328
772225127.095,242.368921803515,53.6728608018693,6801.713,-14974.54,9934.81,-21057.03,0,12.0,513.3619,150.42433,0.8553725,1.0296779004421341,0.8807581480532923
772225133.72,242.368139399576,53.6739284497539,6748.421,-15071.65,9874.334,-21211.14,0,12.0,512.4737,148.80583,0.80988127,1.0296778969228277,0.8339168427805578
772225139.755,242.369416384819,53.67121933341,6783.316,-15206.58,9933.755,-21379.26,0,14.0,513.0553,146.55699,0.8577564,1.0296778937169386,0.8832127788363425
772225146.43,242.364809056139,53.6733799710882,6628.0,-15168.24,9693.788,-21407.28,0,12.0,510.46667,147.19598,0.85567635,1.0296778901710715,0.8810710218034095
772225146.61,242.367934292769,53.67262037976,6641.508,-15239.97,9717.081,-21533.37,0,11.0,510.69177,146.0005,0.8308989,1.0296778900754526,0.8555582066114618
772225158.29,242.372405451264,53.6732048072205,6396.959,-15365.16,9359.328,-21617.43,0,15.0,506.61597,143.91399,0.8331324,1.0296778838708494,0.8578579924144928
772225160.915,242.370938243784,53.672719949806,6371.972,-15329.57,9283.734,-21589.41,0,13.0,506.19955,144.50717,0.84599197,1.0296778824764075,0.8710992193437705
772225176.595,242.372549746011,53.6738385277878,6083.682,-15180.55,8864.012,-21365.25,0,12.0,501.3947,146.99084,0.83158,1.0296778741469403,0.856259509319951
772225178.69,242.363452988628,53.6738892434653,6093.171,-14958.27,8902.248,-21057.03,0,11.0,501.55286,150.69551,0.82858807,1.0296778730340428,0.8531787999792884
772225190.7,242.372516247209,53.6743561874426,6030.151,-14937.35,8814.349,-21015.0,0,17.0,500.5025,151.04417,0.822205,1.029677866654139,0.8466062976386383
772225191.705,242.371649366243,53.6725683815222,6101.794,-14910.87,8921.85,-21057.03,0,6.0,501.6966,151.48552,0.83492637,1.0296778661202668,0.8597051997403804
772225195.335,242.369638598358,53.671281152837,6181.263,-14810.55,9029.439,-20832.87,0,14.0,503.02106,153.15752,0.8258803,1.029677864191953,0.8503906521358194
772225197.745,242.3638162954,53.6732093240506,6159.723,-14638.94,9007.641,-20664.75,0,12.0,502.66205,156.01765,0.8197249,1.0296778629117225,0.8440526011360747
772225199.56,242.372302017048,53.6728468036737,6163.711,-14790.74,9003.069,-20804.85,0,14.0,502.72852,153.48766,0.8192275,1.0296778619475657,0.8435404377939736
772225204.32,242.365191797574,53.6734942198549,6234.885,-14585.56,9121.91,-20594.7,0,11.0,503.91473,156.90732,0.8382197,1.0296778594189777,0.863096268729214
772225211.27,242.369791003828,53.672722484648,6371.472,-14629.35,9308.083,-20664.75,0,11.0,506.1912,156.17749,0.8241675,1.029677855727027,0.8486270138687821
772225211.45,242.365765552872,53.672406909224,6399.804,-14545.65,9350.978,-20538.66,0,12.0,506.66342,157.57248,0.8504784,1.0296778556314081,0.8757187862118273
772225212.07,242.36571747555,53.6725582951295,6404.729,-14541.15,9364.515,-20468.61,0,13.0,506.74548,157.64752,0.8504784,1.0296778553020545,0.8757187859317191
772225214.365,242.369231845219,53.671649789666,6469.053,-14614.25,9450.832,-20552.67,0,13.0,507.81757,156.42917,0.8312484,1.0296778540829137,0.8559180713944049
772225220.725,242.371375411469,53.6716818805642,6579.103,-14671.49,9623.028,-20636.73,0,14.0,509.6517,155.47516,0.8540863,1.0296778507043807,0.879433724971694
